Variable,C01,C02,C03,C04,C05,C06,C07,C08
CIndex,-8.1983,194.4893,-0.1588,0.4917,0.1208,-0.03,130.7735,1.7623
LandIrrigation,-0.0008,-3.0621,-0.0001,-0.1249,0.0002,0,-0.1014,0.0007
Tractors,-0.0014,-0.0356,0,0.0004,0,0,-0.0059,0.0002
Fertilizer,-0.1787,4.0408,-0.0017,0.4029,0.0006,-0.0001,0.9544,0.0128
Pesticides,0.0001,0.0211,0,-0.001,0,0,-0.0004,0
Employment,0.0092,0.0639,0,-0.0007,0,0,-0.0226,0.0009
Temperature,0.6721,-114.3193*,-0.0035,-0.4799,0.0037,-0.0004,4.1952,-0.0024
NCSAgri,0.1708,-3.1271,0.0014,0.1628,-0.0004,0.0006,-0.3871,0.0143
GFCFAgri,-0.0597,6.6983,-0.0006,-0.099,0.0002,-0.0003,-0.2556,-0.0037
CreditAgri,-0.0083,1.0954,-0.0002,-0.011,0.0001,0,0.0752,0.0012
RDBFunds,-0.0109,-0.5203,-0.0003,0.057,0.0001,0,0.0941,0.0008
TechnicalGrants,-0.0097,0.2688,-0.0001,-0.0075,0.0001,0,0.0923,0.0002
ForeignAid,0.0001,-0.0063,0,0.0013,0,0,0.0036,0.0001
FDIAgri,0.0011,1.6561,0,0.0169,0,0,0.0344,0.0009
VAAgri,-0.0045,0.2098,-0.0001,-0.0091,0,0,0.0403,0.0002
VAWorker,0.0306,-0.7168,0.0002,0.0415,-0.0002,0.0001,-0.2116,0.0029
CFCAgri,-2.5482,42.6882,-0.02,-2.7361,0.0053,-0.0096,5.0401,-0.2257
FCE,-0.0039,0.2386,0,0.0069,0,0,0.0259,-0.0008
TaxesSubsidies,0.0304,-1.4487,0,-0.0083,0,0,-0.0753,0.0013
Constant,0.0886,-146.1604,0.264,40.8144,0.0599,0.0116,23.5871,-1.4612
Observations,30,30,30,30,30,30,30,30
R-squared,0.9074,0.9979,0.7235,0.8475,0.8034,0.7351,0.9611,0.994
