Variable,L01,L02,L03,L04,L05,L06,L07
,(1),(2),(3),(4),(5),(6),(7)
Lindex,-30.5980,-26.8487,21.7303,19.8166,-140.2263***,-135.8415***,36.4574***
,(27.6738),(25.2397),(45.3714),(40.1902),(16.0302),(11.3303),(5.7823)
Employment,0.0015,0.0025,0.0171*,0.0127,0.0062,0.0036,0.0056***
,(0.0068),(0.0058),(0.0078),(0.0069),(0.0039),(0.0032),(0.0015)
Temperature,-0.4370,-0.6641,-2.4070,-2.8166*,-1.9736*,-1.9432***,-0.5797
,(1.0327),(0.9222),(1.6889),(1.4006),(0.8485),(0.5692),(0.4544)
NCSAgri,0.1278,0.1743,0.3648,0.3444,-0.0323,-0.0277,0.1555*
,(0.1998),(0.1673),(0.2261),(0.1873),(0.1694),(0.1434),(0.0637)
GFCFAgri,0.0149,-0.0103,-0.2124*,-0.2457**,-0.1729*,-0.1850**,-0.0816**
,(0.0806),(0.0662),(0.1064),(0.0752),(0.0754),(0.0607),(0.0257)
CreditAgri,-0.0097,-0.0094,-0.0030,-0.0147,0.0197**,0.0018,-0.0038
,(0.0061),(0.0059),(0.0107),(0.0100),(0.0076),(0.0049),(0.0032)
RDBFunds,-0.0476***,-0.0404***,0.0223,0.0416,0.0074,0.0128,-0.0010
,(0.0110),(0.0106),(0.0284),(0.0223),(0.0145),(0.0080),(0.0060)
TechnicalGrants,-0.0104,-0.0147**,-0.0022,-0.0011,0.0071,0.0046,-0.0025
,(0.0061),(0.0054),(0.0157),(0.0113),(0.0069),(0.0053),(0.0030)
ForeignAid,-0.0002,-0.0003,0.0012,0.0001,0.0021*,-0.0002,-0.0002
,(0.0009),(0.0009),(0.0017),(0.0014),(0.0011),(0.0006),(0.0004)
FDIAgri,0.0059,0.0095,-0.0036,-0.0054,-0.0071,-0.0115*,-0.0133***
,(0.0094),(0.0092),(0.0215),(0.0194),(0.0067),(0.0048),(0.0026)
